inning,estimated_woba_using_speedangle,outs_when_up,Swing
6,0.357,2,
6,0.125,1,1
6,0.121,1,0
7,0.151,1,0
5,0.011,1,0
5,0.062,1,0
4,0.01,2,
5,0.025,0,0
5,0.159,2,
5,0.464,0,0
6,0.042,0,0
4,0.176,2,
5,0.435,1,0
4,0.003,1,0
4,0,2,
4,0.08,2,
4,0.044,0,
2,0.447,2,
4,0.203,0,0
3,0.094,2,
3,0.401,2,
3,0.019,1,0
3,0.2,0,0
3,1.663,0,0
2,0.312,1,0
2,0.01,2,
1,0.059,2,
1,0.388,2,
1,0.191,1,0
1,0.679,2,
1,0.013,0,0
1,0.003,0,0
1,0.283,0,0
6,0.003,0,1
6,0.033,0,0
5,0.154,0,0
5,0.478,1,0
5,0.679,0,0
4,0.004,1,0
4,0.223,0,0
2,0.039,2,
4,,2,
3,0.579,2,
3,0.447,0,0
2,0.055,1,0
3,0.224,2,
2,0.003,1,0
2,0.05,1,0
2,0.02,0,1
3,0.23,0,0
3,0.004,2,
2,0.068,1,0
2,0.157,1,0
1,0.165,2,
1,0.697,1,0
2,0.213,0,0
1,0.592,1,1
1,0.007,1,0
2,0.005,0,0
1,0.077,2,
1,0.72,0,1
1,0,0,0
1,0.506,0,0
6,0.041,2,
7,0.409,0,0
6,0.484,1,0
6,0.144,2,
5,0.01,2,
5,0.693,1,0
5,0.012,0,0
4,0.149,2,
5,0.121,0,1
6,0,0,0
4,0.005,1,1
4,0.093,2,
6,0.121,2,
3,0.053,2,
4,0.019,2,
4,0.314,1,0
3,0.409,2,
4,0.166,2,
3,0.061,2,
4,0.105,1,0
4,0.014,1,0
3,0.251,2,
3,0.472,0,0
2,0.208,2,
3,0.283,1,0
2,0.017,1,0
3,0.131,0,0
2,0.024,0,0
2,0.195,1,0
2,0.018,1,1
2,0.041,2,
2,0.113,2,
2,0.208,1,0
1,0.003,1,0
2,0.077,0,0
1,0.055,1,1
2,0.114,0,0
2,0.008,1,0
1,0.904,0,0
1,0.066,0,0
1,0.273,0,0
5,0.108,1,0
5,0.059,1,1
7,0.105,0,0
4,0.27,2,
5,0.077,1,0
4,0.024,0,0
4,0.28,2,
2,0,1,1
3,0.02,1,0
3,0.058,2,
4,0.713,0,0
2,0.059,2,
3,0.108,1,1
2,0.311,1,0
2,0.055,1,0
2,0.219,2,
2,0.059,1,1
2,0.572,0,1
2,0.062,1,0
2,0.388,0,0
1,0.015,2,
1,0.203,1,1
1,0.09,1,0
1,0.647,0,0
1,0.123,0,0
6,0.101,1,0
6,0.087,2,
6,0.035,1,0
6,0.097,0,1
5,0.205,0,0
7,0.33,2,
4,0.226,1,0
5,0.401,2,
4,0.269,2,
4,0.1,0,1
4,0.341,0,0
3,0.003,1,1
4,0.123,1,0
2,0.006,2,
4,0.566,1,1
4,0.035,0,1
3,0,2,
3,0.012,1,0
2,0.395,1,1
2,0.412,2,
3,0.105,0,0
3,0.019,0,0
2,0.116,1,0
